iter	MultiClass
0	1.37722791
1	1.368587626
2	1.360078252
3	1.351717529
4	1.343644351
5	1.335851874
6	1.328296125
7	1.320861147
8	1.313762757
9	1.306790461
10	1.300037404
11	1.293501304
12	1.287200917
13	1.280955657
14	1.274904164
15	1.268906276
16	1.262978975
17	1.257257734
18	1.251583381
19	1.246123452
20	1.240875665
21	1.235702646
22	1.230592992
23	1.225588014
24	1.220727126
25	1.215923265
26	1.211317352
27	1.206835886
28	1.202412842
29	1.197826445
30	1.193394656
31	1.189141427
32	1.184964994
33	1.180772593
34	1.176649386
35	1.172648597
36	1.16867835
37	1.1649793
38	1.161239697
39	1.157573849
40	1.154032195
41	1.150539964
42	1.147117433
43	1.143756619
44	1.140365136
45	1.137077951
46	1.133772136
47	1.130629926
48	1.127385068
49	1.124284678
50	1.121388827
51	1.118353703
52	1.115406654
53	1.112593429
54	1.109814167
55	1.106888916
56	1.104162753
57	1.101482972
58	1.098896083
59	1.09630894
60	1.093619275
61	1.091024782
62	1.088434978
63	1.08596924
64	1.083497419
65	1.08116031
66	1.078730436
67	1.076403718
68	1.074026056
69	1.071725951
70	1.069607067
71	1.067480325
72	1.065322789
73	1.063221012
74	1.061180699
75	1.05910015
76	1.057104064
77	1.055196434
78	1.053274358
79	1.05128746
80	1.049287889
81	1.047435196
82	1.045662341
83	1.043845955
84	1.042089765
85	1.040312221
86	1.038642079
87	1.036963256
88	1.035262636
89	1.033583939
90	1.031869886
91	1.030204306
92	1.028530615
93	1.026926244
94	1.025207692
95	1.023630631
96	1.022049769
97	1.020646895
98	1.019121792
99	1.017725381
100	1.01626529
101	1.01471725
102	1.013333892
103	1.011918408
104	1.010518259
105	1.009121342
106	1.007803629
107	1.006545478
108	1.00518962
109	1.003897569
110	1.002622183
111	1.001368151
112	1.000028007
113	0.9987603512
114	0.9976026317
115	0.9964679767
116	0.9953509368
117	0.994244732
118	0.9930801059
119	0.9920569711
120	0.9908640848
121	0.989686279
122	0.98846697
123	0.987311088
124	0.986215275
125	0.9850316397
126	0.9839849336
127	0.9829920233
128	0.9820166648
129	0.9810072166
130	0.9800743118
131	0.9791511016
132	0.9781815726
133	0.9772216748
134	0.9761517142
135	0.9751541149
136	0.9742080305
137	0.9732533285
138	0.9723134537
139	0.9713627437
140	0.9704567052
141	0.9695534546
142	0.9687238961
143	0.9676914468
144	0.9669312083
145	0.9660811199
146	0.9651646264
147	0.9642021307
148	0.96325706
149	0.9623255492
150	0.9615334387
151	0.9607501992
152	0.9599391429
153	0.9590751145
154	0.9582385227
155	0.9572256528
156	0.9564349363
157	0.9555807293
158	0.9548652256
159	0.9539304832
160	0.9532611717
161	0.9524964344
162	0.9517018527
163	0.9509915448
164	0.9502076082
165	0.9493561259
166	0.9486989168
167	0.9480588794
168	0.9473163194
169	0.946492527
170	0.9458766311
171	0.9451393303
172	0.9443793452
173	0.9437354426
174	0.9430688557
175	0.9424634149
176	0.9416679461
177	0.9409149944
178	0.9403551121
179	0.9396881451
180	0.9390241561
181	0.9383792396
182	0.9377242483
183	0.9369633762
184	0.9363782751
185	0.9356595399
186	0.9350805851
187	0.9345812786
188	0.9339461835
189	0.9333412496
190	0.9326027448
191	0.9318970625
192	0.9313174741
193	0.9306840265
194	0.9301247145
195	0.9294649075
196	0.928849075
197	0.9282445213
198	0.9277255087
199	0.9272206261
200	0.9266393269
201	0.9259973252
202	0.9253516483
203	0.9247654067
204	0.924336434
205	0.9237014656
206	0.9231215604
207	0.9225469777
208	0.9220751711
209	0.9215581861
210	0.9210808034
211	0.9205861225
212	0.9201159633
213	0.9197720248
214	0.9191966817
215	0.9186225426
216	0.9181409146
217	0.9176222821
218	0.9172080731
219	0.9167387377
220	0.9162489991
221	0.9157552686
222	0.9152211754
223	0.9146849911
224	0.9142270612
225	0.9137961875
226	0.9132655159
227	0.9127835077
228	0.91231639
229	0.9118786731
230	0.9113145454
231	0.9107878024
232	0.9103410244
233	0.9099069826
234	0.909528194
235	0.9090300914
236	0.9085701338
237	0.908154911
238	0.907678859
239	0.9072797939
240	0.9068303547
241	0.9064876834
242	0.905945543
243	0.9055456543
244	0.9051881559
245	0.9048016369
246	0.9043814083
247	0.9040341115
