iter	Passed	Remaining
0	2	127043
1	4	118116
2	6	114958
3	9	114929
4	11	115706
5	13	115411
6	15	113948
7	18	113374
8	20	112873
9	22	112935
10	24	112983
11	27	113146
12	29	113075
13	31	112256
14	33	111867
15	35	111861
16	38	111921
17	40	111915
18	42	111972
19	44	111945
20	46	111646
21	49	111441
22	51	111159
23	53	110859
24	55	110849
25	57	110636
26	59	110544
27	61	110519
28	64	110815
29	66	111068
30	68	111000
31	71	111055
32	73	111107
33	75	111166
34	77	111204
35	80	111206
36	82	111262
37	84	111269
38	86	111310
39	89	111330
40	91	111389
41	93	111398
42	95	111436
43	98	111400
44	100	111914
45	103	112381
46	106	112783
47	108	113117
48	111	113403
49	113	113661
50	116	113835
51	118	113850
52	120	113739
53	122	113720
54	125	113697
55	127	113722
56	129	113677
57	131	113650
58	134	113630
59	136	113488
60	138	113391
61	140	113285
62	142	113244
63	145	113250
64	147	113060
65	149	113128
66	151	112939
67	153	113035
68	156	113161
69	158	113267
70	160	113214
71	163	113061
72	165	113084
73	167	113002
74	169	112970
75	171	112913
76	174	112953
77	176	112957
78	178	112959
79	180	112914
80	183	112917
81	185	112943
82	187	112859
83	189	112865
84	192	112873
85	194	112840
86	196	112839
87	198	112837
88	201	112743
89	203	112709
90	205	112888
91	208	112906
92	210	112972
93	212	112875
94	214	112781
95	216	112710
96	219	112672
97	221	112617
98	223	112572
99	225	112516
100	227	112399
101	229	112323
102	231	112203
103	233	112150
104	235	112118
105	238	112077
106	240	112003
107	242	111958
108	244	111934
109	246	111903
110	248	111876
111	250	111784
112	253	111738
113	255	111719
114	257	111576
115	259	111566
116	261	111565
117	263	111483
118	265	111426
119	268	111412
120	270	111330
121	272	111245
122	274	111219
123	276	111181
124	278	111146
125	280	111091
126	282	111044
127	284	111036
128	287	111021
129	289	111006
130	291	110933
131	293	110922
132	295	110920
133	298	110900
134	300	110824
135	302	110753
136	304	110730
137	306	110728
138	308	110712
139	310	110707
140	313	110701
141	315	110705
142	317	110684
143	319	110635
144	321	110591
145	323	110529
146	325	110528
147	328	110497
148	330	110438
149	332	110373
150	334	110366
151	336	110342
152	339	110446
153	341	110509
154	344	110628
155	346	110728
156	349	110820
157	351	110938
158	354	111027
159	356	111070
160	359	111166
161	361	111259
162	363	111261
163	366	111235
164	368	111220
165	370	111159
166	372	111102
167	374	111091
168	376	111082
169	378	111033
170	380	110991
171	383	110973
172	385	110936
173	387	110860
174	389	110848
175	391	110839
176	393	110825
177	395	110738
178	397	110687
179	399	110672
180	402	110647
181	404	110602
182	406	110586
183	408	110488
184	410	110467
185	412	110437
186	414	110378
187	416	110365
188	418	110297
189	420	110250
190	422	110241
191	424	110226
192	427	110211
193	429	110211
194	431	110205
195	433	110201
196	435	110159
197	437	110137
198	440	110151
199	442	110136
200	444	110100
201	446	110084
202	448	110018
203	451	110103
204	453	110185
205	456	110226
206	458	110191
207	460	110190
208	462	110182
209	464	110177
210	466	110131
211	468	110121
212	471	110112
213	473	110103
214	475	110078
215	477	110048
216	479	110047
217	481	110014
218	483	109998
219	486	109981
220	488	109984
221	490	109955
222	492	109922
223	494	109884
224	496	109876
225	498	109838
226	500	109827
227	503	109816
228	505	109803
229	507	109784
230	509	109776
231	511	109762
232	513	109762
233	515	109735
234	518	109704
235	520	109706
236	522	109689
237	524	109689
238	526	109687
239	529	109686
240	531	109679
241	533	109663
242	535	109661
243	537	109645
244	539	109633
245	542	109627
246	544	109619
247	546	109580
248	548	109597
249	550	109610
250	552	109588
251	555	109587
252	557	109564
253	559	109570
254	561	109579
255	563	109587
256	567	109864
257	569	109830
258	571	109829
259	574	109822
260	576	109813
261	578	109787
262	580	109781
263	582	109748
264	584	109722
265	586	109694
266	588	109694
267	591	109693
268	593	109687
269	595	109673
270	597	109680
271	599	109684
272	602	109686
273	604	109685
274	606	109689
275	608	109667
276	610	109660
277	613	109652
278	615	109639
279	617	109618
280	619	109594
281	621	109575
282	623	109563
283	625	109548
284	627	109521
285	629	109504
286	631	109471
287	634	109455
288	636	109440
289	638	109429
290	640	109419
291	642	109422
292	644	109407
293	647	109396
294	649	109377
295	651	109362
296	653	109377
297	655	109366
298	657	109332
299	659	109323
300	662	109305
301	664	109294
302	666	109287
303	668	109288
304	670	109252
305	672	109247
306	674	109220
307	676	109218
308	679	109207
309	681	109207
310	683	109197
311	685	109193
312	687	109187
313	690	109184
314	692	109180
315	694	109150
316	696	109111
317	698	109109
318	700	109086
319	702	109082
320	704	109058
321	706	109054
322	709	109051
323	711	109047
324	713	109041
325	715	109043
326	717	109051
327	720	109037
328	722	109037
329	724	109020
330	726	109017
331	728	109014
332	730	109010
333	733	109004
334	735	108985
335	737	108982
336	739	108982
337	741	108943
338	743	108936
339	745	108915
340	747	108915
341	750	108910
342	752	108886
343	754	108886
344	756	108880
345	758	108883
346	760	108884
347	763	108883
348	765	108865
349	767	108864
350	769	108868
351	771	108866
352	774	108862
353	776	108850
354	778	108848
355	780	108836
356	782	108834
357	784	108835
358	787	108837
359	789	108836
360	791	108815
361	793	108800
362	795	108792
363	797	108789
364	799	108771
365	802	108816
366	804	108858
367	807	108860
368	809	108836
369	811	108819
370	813	108821
371	815	108816
372	817	108817
373	820	108808
374	822	108792
375	824	108793
376	826	108792
377	828	108795
378	830	108793
379	833	108789
380	835	108788
381	837	108788
382	839	108774
383	841	108775
384	844	108773
385	846	108777
386	848	108761
387	850	108763
388	852	108732
389	854	108733
390	857	108736
391	859	108729
392	861	108725
393	863	108716
394	865	108714
395	867	108691
396	869	108688
397	872	108687
398	874	108686
399	876	108671
400	878	108652
401	880	108650
402	882	108652
403	884	108638
404	887	108645
405	889	108646
406	891	108648
407	893	108645
408	896	108641
409	898	108638
410	900	108626
411	902	108621
412	904	108617
413	906	108614
414	909	108610
415	911	108611
416	913	108616
417	915	108617
418	917	108614
419	920	108611
420	922	108611
421	924	108607
422	926	108605
423	928	108605
424	931	108600
425	933	108599
426	935	108596
427	937	108600
428	939	108564
429	942	108603
430	944	108604
431	946	108603
432	948	108599
433	950	108594
434	953	108594
435	955	108578
436	957	108572
437	959	108559
438	961	108565
439	963	108560
440	966	108559
441	968	108561
442	970	108569
443	972	108553
444	974	108554
445	976	108550
446	979	108568
447	981	108551
448	983	108549
449	985	108541
450	987	108536
451	990	108538
452	992	108537
453	994	108511
454	996	108513
455	998	108513
456	1000	108501
457	1003	108497
458	1005	108500
459	1007	108502
460	1009	108495
461	1011	108494
462	1013	108477
463	1016	108477
464	1018	108474
465	1020	108474
466	1022	108470
467	1024	108469
468	1027	108471
469	1029	108473
470	1031	108474
471	1033	108467
472	1035	108462
473	1038	108462
474	1040	108453
475	1042	108452
476	1044	108445
477	1046	108446
478	1048	108434
479	1050	108412
480	1053	108413
481	1055	108409
482	1057	108410
483	1059	108410
484	1061	108416
485	1064	108418
486	1066	108408
487	1068	108408
488	1070	108410
489	1072	108411
490	1075	108409
491	1077	108409
492	1079	108405
493	1081	108402
494	1083	108402
495	1086	108403
496	1088	108406
497	1090	108402
498	1092	108403
499	1094	108403
500	1097	108397
501	1099	108383
502	1101	108385
503	1103	108384
504	1105	108384
505	1108	108382
506	1110	108384
507	1112	108379
508	1114	108373
509	1116	108371
510	1119	108373
511	1121	108375
512	1123	108386
513	1125	108389
514	1127	108372
515	1130	108370
516	1132	108367
517	1134	108358
518	1136	108358
519	1138	108357
520	1140	108354
521	1143	108355
522	1145	108337
523	1147	108324
524	1149	108322
525	1151	108322
526	1153	108307
527	1155	108308
528	1158	108309
529	1160	108312
530	1162	108311
531	1164	108308
532	1166	108298
533	1169	108302
534	1171	108301
535	1173	108296
536	1175	108296
537	1177	108289
538	1180	108285
539	1182	108283
540	1184	108269
541	1186	108268
542	1188	108254
543	1190	108253
544	1192	108245
545	1195	108247
546	1197	108243
547	1199	108239
548	1201	108237
549	1203	108238
550	1206	108236
551	1208	108237
552	1210	108236
553	1212	108236
554	1214	108234
555	1217	108235
556	1219	108235
557	1221	108232
558	1223	108227
559	1225	108227
560	1228	108228
561	1230	108264
562	1233	108288
563	1235	108276
564	1237	108277
565	1239	108278
566	1241	108265
567	1243	108253
568	1246	108246
569	1248	108239
570	1250	108236
571	1252	108233
572	1254	108223
573	1256	108221
574	1259	108220
575	1261	108217
576	1263	108216
577	1265	108212
578	1267	108210
579	1270	108213
580	1272	108213
581	1274	108212
582	1276	108215
583	1278	108214
584	1281	108213
585	1283	108210
586	1285	108211
587	1287	108203
588	1289	108202
589	1291	108189
590	1294	108186
591	1296	108192
592	1298	108195
593	1300	108203
594	1303	108206
595	1305	108194
596	1307	108181
597	1309	108165
598	1311	108162
599	1313	108163
600	1315	108160
601	1318	108166
602	1320	108167
603	1322	108158
604	1324	108152
605	1326	108151
606	1329	108153
607	1331	108159
608	1333	108158
609	1335	108153
610	1337	108152
611	1340	108151
612	1342	108150
613	1347	108416
614	1350	108418
615	1352	108412
616	1354	108410
617	1356	108411
618	1359	108415
619	1361	108412
620	1363	108415
621	1365	108415
622	1367	108409
623	1369	108400
624	1372	108399
625	1374	108394
626	1376	108399
627	1378	108398
628	1380	108396
629	1383	108403
630	1385	108404
631	1387	108412
632	1390	108417
633	1392	108423
634	1394	108422
635	1396	108423
636	1398	108411
637	1401	108423
638	1403	108424
639	1405	108430
640	1408	108428
641	1410	108423
642	1415	108636
643	1417	108627
644	1419	108616
645	1421	108615
646	1423	108614
647	1426	108618
648	1428	108616
649	1430	108602
650	1432	108605
651	1434	108606
652	1437	108602
653	1439	108606
654	1441	108602
655	1443	108604
656	1445	108585
657	1448	108584
658	1450	108582
659	1452	108583
660	1454	108582
661	1456	108573
662	1458	108564
663	1461	108562
664	1463	108565
665	1465	108569
666	1467	108563
667	1470	108565
668	1472	108556
669	1474	108548
670	1476	108548
671	1478	108537
672	1480	108537
673	1483	108539
674	1485	108537
675	1487	108535
676	1489	108533
677	1491	108536
678	1494	108535
679	1496	108536
680	1498	108537
681	1500	108527
682	1502	108524
683	1505	108521
684	1507	108531
685	1509	108531
686	1511	108522
687	1514	108526
688	1516	108528
689	1518	108529
690	1520	108528
691	1523	108532
692	1525	108525
693	1527	108549
694	1530	108555
695	1532	108557
696	1534	108546
697	1536	108537
698	1538	108537
699	1540	108528
700	1543	108518
701	1545	108517
702	1547	108515
703	1549	108512
704	1551	108505
705	1554	108505
706	1556	108506
707	1558	108509
708	1560	108510
709	1563	108511
710	1565	108504
711	1567	108504
712	1569	108503
713	1571	108503
714	1574	108500
715	1576	108488
716	1578	108490
717	1580	108489
718	1582	108492
719	1585	108488
720	1587	108482
721	1589	108478
722	1591	108472
723	1593	108477
724	1596	108475
725	1598	108469
726	1600	108468
727	1602	108469
728	1604	108465
729	1606	108459
730	1609	108454
731	1611	108449
732	1613	108455
733	1615	108456
734	1618	108457
735	1620	108445
736	1622	108446
737	1624	108449
738	1626	108447
739	1629	108447
740	1631	108446
741	1633	108439
742	1635	108440
743	1637	108439
744	1640	108431
745	1642	108432
746	1644	108430
747	1646	108427
748	1648	108424
749	1650	108409
750	1653	108408
751	1655	108407
752	1657	108406
753	1659	108405
754	1661	108401
755	1664	108395
756	1666	108393
757	1668	108388
758	1670	108388
759	1672	108386
760	1675	108382
761	1677	108383
762	1679	108374
763	1681	108370
764	1683	108363
765	1685	108360
766	1688	108355
767	1690	108354
768	1692	108354
769	1694	108352
770	1696	108350
771	1699	108350
772	1701	108350
773	1703	108342
774	1705	108345
775	1708	108345
776	1710	108337
777	1712	108330
778	1714	108330
779	1716	108329
780	1718	108327
781	1721	108323
782	1723	108322
783	1725	108322
784	1727	108319
785	1729	108316
786	1732	108310
787	1734	108310
788	1736	108309
789	1738	108309
790	1740	108307
791	1743	108299
792	1745	108294
793	1747	108289
794	1749	108288
795	1751	108288
796	1753	108278
797	1755	108265
798	1758	108264
799	1760	108254
800	1762	108253
801	1764	108254
802	1766	108254
803	1769	108251
804	1771	108242
805	1773	108233
806	1775	108234
807	1777	108234
808	1780	108235
809	1782	108235
810	1784	108233
811	1786	108232
812	1788	108228
813	1791	108227
814	1793	108227
815	1795	108227
816	1797	108226
817	1800	108227
818	1802	108227
819	1804	108229
820	1806	108229
821	1808	108227
822	1811	108225
823	1813	108222
824	1815	108213
825	1817	108212
826	1819	108211
827	1822	108210
828	1824	108210
829	1826	108209
830	1828	108208
831	1831	108208
832	1833	108209
833	1835	108208
834	1837	108207
835	1839	108205
836	1842	108205
837	1844	108197
838	1846	108193
839	1848	108191
840	1850	108185
841	1853	108184
842	1855	108179
843	1857	108176
844	1859	108177
845	1861	108178
846	1864	108177
847	1866	108167
848	1868	108166
849	1870	108164
850	1872	108164
851	1875	108163
852	1877	108160
853	1879	108154
854	1881	108150
855	1883	108148
856	1885	108145
857	1888	108143
858	1890	108140
859	1892	108139
860	1894	108136
861	1896	108135
862	1899	108132
863	1901	108124
864	1903	108119
865	1905	108112
866	1907	108110
867	1909	108109
868	1912	108111
869	1914	108102
870	1916	108101
871	1918	108100
872	1920	108091
873	1922	108084
874	1924	108073
875	1927	108072
876	1929	108071
877	1931	108067
878	1933	108065
879	1935	108063
880	1938	108060
881	1940	108058
882	1942	108049
883	1944	108047
884	1946	108045
885	1949	108045
886	1951	108037
887	1953	108034
888	1955	108031
889	1957	108029
890	1960	108028
891	1962	108028
892	1964	108029
893	1966	108028
894	1968	108022
895	1970	108002
896	1972	108001
897	1975	108000
898	1977	107995
899	1979	107993
900	1981	107993
901	1983	107991
902	1986	107989
903	1988	107984
904	1990	107981
905	1992	107975
906	1994	107976
907	1997	107973
908	1999	107971
909	2001	107968
910	2003	107968
911	2005	107966
912	2008	107961
913	2010	107952
914	2012	107951
915	2014	107949
916	2016	107941
917	2018	107938
918	2020	107935
919	2023	107938
920	2025	107944
921	2027	107949
922	2030	107952
923	2032	107952
924	2034	107951
925	2037	107952
926	2039	107947
927	2041	107946
928	2043	107946
929	2045	107944
930	2048	107942
931	2050	107942
932	2052	107941
933	2054	107941
934	2056	107942
935	2059	107943
936	2061	107945
937	2063	107943
938	2065	107942
939	2068	107937
940	2070	107938
941	2074	108015
942	2076	108011
943	2078	108010
944	2080	108007
945	2082	108009
946	2085	108008
947	2087	108007
948	2089	108003
949	2091	107993
950	2093	107993
951	2095	107986
952	2098	107983
953	2100	107982
954	2102	107980
955	2104	107978
956	2107	108011
957	2109	108001
958	2111	107995
959	2114	107992
960	2116	107995
961	2118	107999
962	2120	107997
963	2123	107996
964	2125	107989
965	2127	107991
966	2129	107992
967	2132	107998
968	2134	108000
969	2136	108001
970	2138	108000
971	2141	108001
972	2143	108005
973	2145	108002
974	2147	108001
975	2150	107995
976	2152	108011
977	2154	108013
978	2157	108011
979	2159	108006
980	2161	108005
981	2163	107993
982	2165	107991
983	2167	107989
984	2170	107986
985	2172	107985
986	2174	107978
987	2176	107979
988	2178	107977
989	2181	107978
990	2183	107977
991	2185	107976
992	2187	107970
993	2189	107968
994	2192	107970
995	2194	107969
996	2196	107967
997	2198	107966
998	2201	107966
999	2203	107965
1000	2205	107963
1001	2207	107960
