iter	Passed	Remaining
0	210	1052144
1	523	1308026
2	732	1219883
3	940	1175025
4	1144	1142897
5	1361	1133171
6	1580	1127478
7	1802	1124750
8	2006	1112692
9	2218	1106827
10	2429	1101767
11	2637	1096365
12	2850	1093512
13	3059	1089622
14	3261	1084045
15	3464	1079146
16	3674	1077031
17	3886	1075649
18	4088	1071721
19	4295	1069514
20	4523	1072453
21	4739	1072350
22	4948	1070883
23	5151	1068055
24	5180	1031001
25	5394	1032102
26	5605	1032453
27	5806	1031135
28	6016	1031237
29	6228	1031822
30	6434	1031334
31	6493	1008124
32	6714	1010674
33	6927	1011866
34	7139	1012835
35	7356	1014369
36	7573	1015814
37	7793	1017710
38	8009	1018876
39	8221	1019446
40	8436	1020420
41	8640	1020043
42	8869	1022457
43	9079	1022680
44	9298	1023880
45	9510	1024225
46	9728	1025226
47	9943	1025871
48	10148	1025428
49	10358	1025442
50	10570	1025723
51	10798	1027544
52	11002	1026937
53	11229	1028572
54	11442	1028806
55	11647	1028281
56	11670	1012032
57	11882	1012461
58	12096	1013065
59	12323	1014611
60	12533	1014777
61	12749	1015403
62	12970	1016430
63	13187	1017086
64	13398	1017268
65	13612	1017637
66	13837	1018811
67	13863	1005499
68	14076	1005974
69	14277	1005561
70	14488	1005830
71	14712	1006984
72	14924	1007293
73	15137	1007677
74	15423	1012823
75	15647	1013819
76	15860	1014061
77	16074	1014370
78	16300	1015374
79	16515	1015693
80	16728	1015902
81	16938	1015870
82	16962	1004900
83	17195	1006331
84	17404	1006384
85	17614	1006488
86	17848	1007951
87	18056	1007867
88	18272	1008261
89	18486	1008554
90	18701	1008830
91	18905	1008544
92	19110	1008342
93	19323	1008505
94	19540	1008905
95	19761	1009493
96	19984	1010152
97	20192	1010061
98	20404	1010117
99	20618	1010300
100	20852	1011438
101	21072	1011896
102	21288	1012151
103	21511	1012713
104	21733	1013182
105	21962	1014019
106	22182	1014365
107	22399	1014594
108	22619	1014976
109	22843	1015503
110	23071	1016191
111	23297	1016752
112	23518	1017116
113	23734	1017261
114	23953	1017502
115	24178	1018015
116	24400	1018341
117	24618	1018544
118	24843	1018990
119	25063	1019247
120	25281	1019427
121	25508	1019932
122	25740	1020640
123	25953	1020562
124	26188	1021370
125	26404	1021377
126	26626	1021649
127	26852	1022073
128	27076	1022386
129	27309	1023048
130	27526	1023120
131	27741	1023072
132	27957	1023072
133	28177	1023209
134	28408	1023758
135	28621	1023655
136	28841	1023754
137	29056	1023699
